brand,os,inches,battery,battery_type,ram(GB),announcement_date,weight(g),storage(GB),video_720p,video_1080p,video_4K,video_8K,video_30fps,video_60fps,video_120fps,video_240fps,video_480fps,video_960fps,price,resolution_height,resolution_width,resolution,os_unique,ppi
Huawei,Android 5.1,5.0,2200,Li-Po,2,2016-09-01,140.0,16,True,False,False,False,True,False,False,False,False,False,120.0,720,1280,921600,Android,293.7209560109731
LG,Android 7.0,5.3,2700,Li-Ion,2,2016-12-01,140.0,16,False,True,False,False,True,False,False,False,False,False,100.0,720,1280,921600,Android,277.095241519786
Huawei,Android 7.0,5.2,3000,Li-Ion,4,2017-01-01,147.0,16,False,True,False,False,True,False,False,False,False,False,420.0,1080,1920,2073600,Android,423.6359942465958
Xiaomi,Android 6.0,5.5,4100,Li-Po,4,2017-01-01,165.0,32,True,True,False,False,True,False,True,False,False,False,150.0,1080,1920,2073600,Android,400.52857637859967
Huawei,Android 7.0,5.1,3200,Li-Ion,4,2017-02-01,145.0,32,True,True,True,False,True,True,False,False,False,False,420.0,1080,1920,2073600,Android,431.94258236907814
Sony,Android 7.0,5.0,2300,Li-Ion,3,2017-02-01,143.0,32,False,True,False,False,True,False,False,False,False,False,140.0,720,1280,921600,Android,293.7209560109731
Huawei,Android 7.0,5.2,3000,Li-Po,4,2017-02-01,146.0,32,False,True,False,False,True,False,False,False,False,False,420.0,1080,1920,2073600,Android,423.6359942465958
Huawei,Android 7.0,5.5,3750,Li-Ion,6,2017-02-01,165.0,64,True,True,True,False,True,True,False,False,False,False,170.0,1440,2560,3686400,Android,534.038101838133
Sony,Android 7.0,6.0,2700,Li-Ion,4,2017-02-01,188.0,32,False,True,False,False,True,False,False,False,False,False,250.0,1080,1920,2073600,Android,367.1511950137164
LG,Android 7.0,5.5,4500,Li-Ion,2,2017-02-01,164.0,16,True,True,False,False,True,False,False,False,False,False,170.0,720,1280,921600,Android,267.0190509190665
Xiaomi,Android 6.0,5.5,4100,Li-Po,4,2017-02-01,165.0,16,True,True,False,False,True,False,True,False,False,False,130.0,1080,1920,2073600,Android,400.52857637859967
Sony,Android 7.1,5.2,2900,Li-Ion,4,2017-02-27,161.0,32,True,True,True,False,True,True,False,False,False,True,220.0,1080,1920,2073600,Android,423.6359942465958
Sony,Android 7.1,5.46,3230,Li-Ion,4,2017-02-27,195.0,64,True,True,True,False,True,True,False,False,False,True,320.0,3840,2160,8294400,Android,806.9257033268492
Sony,Android 7.0,5.5,2620,Li-Ion,2,2017-03-01,180.0,16,False,True,False,False,True,False,False,False,False,False,110.0,720,1280,921600,Android,267.0190509190665
Oppo,Android 5.1,5.2,2900,Li-Ion,3,2017-03-01,147.0,32,False,True,False,False,True,False,False,False,False,False,250.0,720,1280,921600,Android,282.42399616439724
Oppo,Android 6,6.0,4000,Li-Ion,6,2017-03-01,185.0,64,True,True,True,False,True,False,False,False,False,False,250.0,1080,1920,2073600,Android,367.1511950137164
Samsung,Android 7.0,5.0,2800,Li-Ion,2,2017-03-01,172.0,16,False,True,False,False,True,False,False,False,False,False,350.0,720,1280,921600,Android,293.7209560109731
Samsung,Android 7.0.1,5.5,3300,Li-Ion,2,2017-03-01,167.0,16,False,True,False,False,True,False,False,False,False,False,170.0,720,1280,921600,Android,267.0190509190665
Samsung,Android 7.0,6.2,3500,Li-Ion,6,2017-03-29,173.0,64,True,True,True,False,True,True,True,True,False,False,350.0,1440,2960,4262400,Android,530.9171770694447
LG,Android 6.0.1,5.0,2500,Li-Ion,2,2017-04-01,143.0,8,True,False,False,False,True,False,False,False,False,False,170.0,480,854,409920,Android,195.93019164998537
Huawei,Android 6.0,5.0,3000,Li-Ion,2,2017-04-01,150.0,16,False,True,False,False,True,False,False,False,False,False,280.0,720,1280,921600,Android,293.7209560109731
LG,Android 7.0,5.3,2800,Li-Ion,5,2017-04-01,141.0,16,False,True,False,False,True,False,False,False,False,False,160.0,720,1280,921600,Android,277.095241519786
Xiaomi,Android 7.1.1,5.15,3350,Li-Po,6,2017-04-01,168.0,64,True,True,True,False,True,False,True,False,False,False,330.0,1080,1920,2073600,Android,427.74896506452393
Huawei,Android 6.0,5.0,3000,Li-Ion,2,2017-05-01,150.0,16,False,True,False,False,True,False,False,False,False,False,240.0,720,1280,921600,Android,293.7209560109731
Huawei,Android 7.0,5.5,4000,Li-Ion,2,2017-05-01,165.0,16,False,True,False,False,True,False,False,False,False,False,90.0,720,1280,921600,Android,267.0190509190665
Huawei,Android 7.0,5.5,3340,Li-Po,4,2017-05-01,169.0,64,False,True,False,False,True,False,False,False,False,False,160.0,1080,1920,2073600,Android,400.52857637859967
Huawei,Android 7.0,5.0,2950,Li-Po,4,2017-05-01,143.0,64,False,True,False,False,True,False,False,False,False,False,140.0,1080,1920,2073600,Android,440.58143401645964
Huawei,Android 6.0,5.0,2200,Li-Ion,1,2017-05-01,175.0,8,True,False,False,False,True,False,False,False,False,False,230.0,480,854,409920,Android,195.93019164998537
Samsung,Tizen 3.0,4.5,2050,Li-Ion,1,2017-05-01,143.0,8,True,False,False,False,True,False,False,False,False,False,240.0,480,800,384000,Tizen,207.32273403894402
Xiaomi,Android 7.1.1,6.44,5300,Li-Ion,4,2017-05-01,211.0,32,True,True,True,False,True,False,True,False,False,False,200.0,1080,1920,2073600,Android,342.06633075812084
Xiaomi,Android 6.0.1,5.0,4100,Li-Po,4,2017-05-01,150.0,16,False,True,False,False,True,False,False,False,False,False,110.0,720,1280,921600,Android,293.7209560109731
LG,Android 7.0,5.7,3080,Li-Ion,2,2017-05-01,150.0,32,False,True,False,False,True,False,False,False,False,False,90.0,1080,1920,2073600,Android,386.47494211970144
Oppo,Android 6,5.5,3200,Li-Ion,4,2017-05-01,153.0,64,False,True,False,False,True,False,False,False,False,False,250.0,1080,1920,2073600,Android,400.52857637859967
LG,Android 7.0,5.2,4100,Li-Ion,2,2017-05-01,166.0,32,False,True,False,False,True,False,False,False,False,False,180.0,1080,1920,2073600,Android,423.6359942465958
Oppo,Android 6,5.5,3200,Li-Ion,4,2017-05-01,153.0,64,False,True,False,False,True,False,False,False,False,False,250.0,1080,1920,2073600,Android,400.52857637859967
Oppo,Android 7.1.1,5.5,3000,Li-Po,6,2017-06-01,150.0,64,True,True,True,False,True,False,False,False,False,False,250.0,1080,1920,2073600,Android,400.52857637859967
Oppo,Android 7.1.1,6.0,4000,Li-Po,6,2017-06-01,188.0,64,True,True,True,False,True,False,False,False,False,False,250.0,1080,1920,2073600,Android,367.1511950137164
Samsung,Android 7.0,5.7,3300,Li-Ion,4,2017-06-01,179.0,32,False,True,False,False,True,False,False,False,False,False,200.0,1080,1920,2073600,Android,386.47494211970144
Samsung,Android 7.0,5.5,3600,Li-Ion,3,2017-06-01,181.0,16,False,True,False,False,True,False,False,False,False,False,130.0,1080,1920,2073600,Android,400.52857637859967
Samsung,Android 7.0,5.5,3600,Li-Ion,3,2017-06-01,181.0,16,False,True,False,False,True,False,False,False,False,False,200.0,1080,1920,2073600,Android,400.52857637859967
Samsung,Android 7.0,5.2,3000,Li-Ion,3,2017-06-01,160.0,16,False,True,False,False,True,False,False,False,False,False,80.0,720,1280,921600,Android,282.42399616439724
Huawei,Android 7.0,5.5,4000,Li-Ion,3,2017-06-01,165.0,32,False,True,False,False,True,False,False,False,False,False,130.0,720,1280,921600,Android,267.0190509190665
Oppo,Android 7.1,5.5,3200,Li-Ion,4,2017-07-01,148.0,64,False,True,False,False,True,False,False,False,False,False,250.0,1080,1920,2073600,Android,400.52857637859967
LG,Android 7.0,5.2,3000,Li-Ion,4,2017-07-01,146.0,32,True,True,True,False,True,True,True,False,False,False,110.0,1440,2560,3686400,Android,564.8479923287945
LG,Android 7.1.1,5.5,3000,Li-Po,4,2017-07-01,149.0,16,False,True,False,False,True,False,False,False,False,False,200.0,1080,2160,2332800,Android,439.0824392181405
